attack,length,anchor_len,weight_preset,decoder,n,mean_hit_rate,mean_ber,exact_rate,crc_pass_rate
mixed10,150,6,default,syncmark_alignment,19,0.569078947368421,0.430921052631579,0.0,0.0
mixed10,150,6,default,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.0
mixed10,150,6,loose_gap,syncmark_alignment,19,0.6151315789473685,0.3848684210526315,0.0,0.10526315789473684
mixed10,150,6,loose_gap,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.0
mixed5,50,6,anchor_heavy,syncmark_alignment,19,0.5756578947368421,0.42434210526315785,0.0,0.05263157894736842
mixed5,50,6,anchor_heavy,syncmark_position_vote,19,0.6743421052631579,0.32565789473684215,0.10526315789473684,0.15789473684210525
mixed5,50,6,current,syncmark_alignment,19,0.5986842105263158,0.4013157894736842,0.0,0.10526315789473684
mixed5,50,6,current,syncmark_position_vote,19,0.6743421052631579,0.32565789473684215,0.10526315789473684,0.15789473684210525
mixed5,50,6,default,syncmark_alignment,19,0.6085526315789473,0.39144736842105265,0.0,0.10526315789473684
mixed5,50,6,default,syncmark_position_vote,19,0.6743421052631579,0.32565789473684215,0.10526315789473684,0.15789473684210525
mixed5,50,6,loose_gap,syncmark_alignment,19,0.5953947368421053,0.4046052631578947,0.0,0.05263157894736842
mixed5,50,6,loose_gap,syncmark_position_vote,19,0.6743421052631579,0.32565789473684215,0.10526315789473684,0.15789473684210525
mixed5,100,6,anchor_heavy,syncmark_alignment,19,0.6447368421052632,0.35526315789473684,0.0,0.05263157894736842
mixed5,100,6,anchor_heavy,syncmark_position_vote,19,0.6513157894736842,0.3486842105263158,0.05263157894736842,0.0
mixed5,100,6,current,syncmark_alignment,19,0.694078947368421,0.305921052631579,0.05263157894736842,0.21052631578947367
