attack,length,anchor_len,weight_preset,n,position_hit_rate,alignment_hit_rate,hit_delta_alignment_minus_position,position_exact_rate,alignment_exact_rate,exact_delta_alignment_minus_position,alignment_crc_pass_rate
mixed5,50,6,anchor_heavy,19,0.6743421052631579,0.5756578947368421,-0.09868421052631571,0.10526315789473684,0.0,-0.10526315789473684,0.05263157894736842
mixed5,50,6,current,19,0.6743421052631579,0.5986842105263158,-0.07565789473684204,0.10526315789473684,0.0,-0.10526315789473684,0.10526315789473684
mixed5,50,6,default,19,0.6743421052631579,0.6085526315789473,-0.06578947368421051,0.10526315789473684,0.0,-0.10526315789473684,0.10526315789473684
mixed5,50,6,loose_gap,19,0.6743421052631579,0.5953947368421053,-0.07894736842105254,0.10526315789473684,0.0,-0.10526315789473684,0.05263157894736842
mixed5,100,6,anchor_heavy,19,0.6513157894736842,0.6447368421052632,-0.006578947368421018,0.05263157894736842,0.0,-0.05263157894736842,0.05263157894736842
mixed5,100,6,current,19,0.6513157894736842,0.694078947368421,0.042763157894736836,0.05263157894736842,0.05263157894736842,0.0,0.21052631578947367
mixed5,100,6,default,19,0.6513157894736842,0.6743421052631579,0.023026315789473673,0.05263157894736842,0.0,-0.05263157894736842,0.05263157894736842
mixed5,100,6,loose_gap,19,0.6513157894736842,0.6776315789473685,0.026315789473684292,0.05263157894736842,0.0,-0.05263157894736842,0.10526315789473684
mixed5,150,6,anchor_heavy,19,0.5855263157894737,0.7072368421052632,0.12171052631578949,0.0,0.0,0.0,0.0
mixed5,150,6,current,19,0.5855263157894737,0.7828947368421053,0.19736842105263164,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
mixed5,150,6,default,19,0.5855263157894737,0.7105263157894737,0.125,0.0,0.0,0.0,0.0
